uidb_number,fir_number,suspect_name,known_aliases,prior_convictions_count,previous_ps_name,previous_offence,act_and_sections,modus_operandi,mob_number,crime_category,case_year,case_status,custody_location
UIDB-370227,0353/2026,Md. Balhaar Sami,"Goli Mastan, Sharpie",4,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/762,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-857267,0420/2026,Md. Warjas Khalsa,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-059802,0286/2026,Md. Christopher Pillai,"Bhaijaan, Company Enforcer",2,Crime Branch Unit 1 (Crawford Market),"Extortion, Running Organized Crime Syndicate & Illegal Arms Supply","MCOCA 1999 Sec 3(1)(ii), 3(2), 3(4) r/w Arms Act Sec 3, 25(1B)(a), IPC 120B",Running protection racket (hafta) targeting real estate developers and angadias in South Mumbai via VoIP spoofing; arms stockpiling and coordinating extortion calls from safehouses.,MOB/CRIM/2020/124,ORGANIZED_CRIME,2020,Judicial Custody (Taloja Central Prison),Out on Conditional Bail
UIDB-616105,0112/2026,Md. Frederick Gade,"Cash Kingpin, Zaveri Courier",5,Enforcement Directorate / Crime Branch Unit 1,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/ENFO/2022/694,HAWALA_AND_MONEY_LAUNDERING,2022,Bailed (Condition to Report Twice Weekly),Out on Conditional Bail
UIDB-891983,0235/2026,Md. Raghav Manda,"Chemical Chembur, Dealer Farhan",3,Anti-Narcotics Cell (ANC) Bandra Unit,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/ANTI/2021/218,NARCOTICS_TRAFFICKING,2021,Judicial Custody (Arthur Road Jail),Taloja Central Prison
UIDB-962803,0460/2026,Md. Laban Sidhu,"Goli Mastan, Sharpie",5,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/877,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-012021,0009/2026,Md. Rudra Narula,"Chemical Chembur, Dealer Farhan",4,Bhoiwada Police Station,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/BHOI/2021/364,NARCOTICS_TRAFFICKING,2021,Charge-sheeted,Judicial Custody
UIDB-674575,0468/2026,Md. George Ramaswamy,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-080101,0295/2026,Md. Owen Ganesh,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-114019,0545/2026,Md. Frado Raja,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-088237,0460/2026,Md. Zaid Nair,"Chhota Boss, Bhai Dongri",4,Bhoiwada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/BHOI/2025/623,EXTORTION_AND_THREAT,2025,Disposed (Compounded),Not in Custody
UIDB-729611,0233/2026,Md. Harsh Samra,"Proxy Boy, Crypto Mule",3,Tardeo Police Station,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/TARD/2023/422,CYBER_FINANCIAL_FRAUD,2023,Judicial Custody (Arthur Road Jail),Arthur Road Jail
UIDB-176398,0777/2026,Md. Ansh Sandal,"Cash Kingpin, Zaveri Courier",4,Crime Branch Unit 2,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/CRIM/2022/591,HAWALA_AND_MONEY_LAUNDERING,2022,Under Trial,Not in Custody (Interim Bail)
UIDB-715006,0871/2026,Md. Harrison Sarna,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-262638,0895/2026,Md. Gaurang Bhatti,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-517508,0881/2026,Md. Vedant Padmanabhan,"Goli Mastan, Sharpie",5,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/945,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-764817,0055/2026,Md. Yagnesh Zacharia,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-013583,0762/2026,Md. Alexander Master,"Proxy Boy, Crypto Mule",5,Crime Branch Cyber Cell,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/CRIM/2023/368,CYBER_FINANCIAL_FRAUD,2023,"Bailed (Surety of ₹50,000)",Arthur Road Jail
UIDB-937754,0977/2026,Md. Onveer Bahl,"Chemical Chembur, Dealer Farhan",4,Anti-Narcotics Cell (ANC) Bandra Unit,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/ANTI/2021/898,NARCOTICS_TRAFFICKING,2021,Judicial Custody (Arthur Road Jail),Taloja Central Prison
UIDB-261340,0760/2026,Md. Darsh Sampath,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-762065,0292/2026,Md. Wridesh Virk,"Proxy Boy, Crypto Mule",4,Tardeo Police Station,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/TARD/2023/731,CYBER_FINANCIAL_FRAUD,2023,Judicial Custody (Arthur Road Jail),Arthur Road Jail
UIDB-507806,0069/2026,Md. Wridesh Bali,"Chemical Chembur, Dealer Farhan",1,Bhoiwada Police Station,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/BHOI/2021/316,NARCOTICS_TRAFFICKING,2021,Charge-sheeted,Judicial Custody
UIDB-779644,0660/2026,Md. Chakradhar Batta,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-242856,0323/2026,Md. Sathvik Pant,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-235018,0943/2026,Md. Samar Nagar,"Bhaijaan, Company Enforcer",2,Crime Branch Unit 1 (Crawford Market),"Extortion, Running Organized Crime Syndicate & Illegal Arms Supply","MCOCA 1999 Sec 3(1)(ii), 3(2), 3(4) r/w Arms Act Sec 3, 25(1B)(a), IPC 120B",Running protection racket (hafta) targeting real estate developers and angadias in South Mumbai via VoIP spoofing; arms stockpiling and coordinating extortion calls from safehouses.,MOB/CRIM/2020/652,ORGANIZED_CRIME,2020,Under Trial (Special MCOCA Court),Arthur Road Jail (Barrack 12)
UIDB-474169,0173/2026,Md. Chanakya Chaudhari,"Bhaijaan, Company Enforcer",4,Dongri Police Station,"Extortion, Running Organized Crime Syndicate & Illegal Arms Supply","MCOCA 1999 Sec 3(1)(ii), 3(2), 3(4) r/w Arms Act Sec 3, 25(1B)(a), IPC 120B",Running protection racket (hafta) targeting real estate developers and angadias in South Mumbai via VoIP spoofing; arms stockpiling and coordinating extortion calls from safehouses.,MOB/DONG/2020/609,ORGANIZED_CRIME,2020,Under Trial (Special MCOCA Court),Arthur Road Jail (Barrack 12)
UIDB-816988,0734/2026,Md. Umang Sabharwal,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-435883,0021/2026,Md. Veer Devi,"Goli Mastan, Sharpie",2,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/843,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-987647,0439/2026,Md. Falan Krishna,"Proxy Boy, Crypto Mule",4,Tardeo Police Station,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/TARD/2023/307,CYBER_FINANCIAL_FRAUD,2023,Judicial Custody (Arthur Road Jail),Arthur Road Jail
UIDB-455210,0252/2026,Md. Yagnesh Tak,"Chhota Boss, Bhai Dongri",4,Bhoiwada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/BHOI/2025/219,EXTORTION_AND_THREAT,2025,Disposed (Compounded),Not in Custody
UIDB-355017,0716/2026,Md. Jagdish Acharya,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-881447,0371/2026,Md. Samar Golla,"Chhota Boss, Bhai Dongri",3,Bhoiwada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/BHOI/2025/522,EXTORTION_AND_THREAT,2025,Disposed (Compounded),Not in Custody
UIDB-672485,0983/2026,Md. Teerth Bhargava,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-053812,0499/2026,Md. Manan Subramanian,"Goli Mastan, Sharpie",4,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/528,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-264186,0687/2026,Md. Oliver Dasgupta,"Goli Mastan, Sharpie",5,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/557,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-563896,0819/2026,Md. Ranbir Bains,"Proxy Boy, Crypto Mule",4,Crime Branch Cyber Cell,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/CRIM/2023/965,CYBER_FINANCIAL_FRAUD,2023,"Bailed (Surety of ₹50,000)",Arthur Road Jail
UIDB-579884,0777/2026,Md. Karan Mistry,"Chhota Boss, Bhai Dongri",1,Bhoiwada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/BHOI/2025/757,EXTORTION_AND_THREAT,2025,Disposed (Compounded),Not in Custody
UIDB-397233,0702/2026,Md. Dev Mani,"Goli Mastan, Sharpie",5,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/936,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
